epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1043.13,0.85512,0.41064,0.93841,0.98252,0.9846,0.99177,0.69987,1.16284,0.38051,1.04816,0.000203141,0.000203141,0.000203141
64,1059.06,0.85569,0.40338,0.93288,0.98326,0.98361,0.9889,0.71076,1.15437,0.37577,1.04393,0.000197934,0.000197934,0.000197934
65,1075.15,0.85429,0.40026,0.9302,0.98707,0.98485,0.99021,0.68647,1.20601,0.38286,1.06832,0.000192726,0.000192726,0.000192726
66,1091.31,0.8634,0.40197,0.93186,0.98643,0.98603,0.99133,0.69587,1.22253,0.38971,1.06957,0.000187519,0.000187519,0.000187519
67,1107.38,0.83033,0.3948,0.93699,0.98157,0.98402,0.9897,0.69876,1.18916,0.38331,1.05232,0.000182312,0.000182312,0.000182312
68,1123.22,0.81195,0.39045,0.92767,0.98773,0.9878,0.99155,0.71872,1.13643,0.36287,1.03492,0.000177104,0.000177104,0.000177104
69,1139.27,0.81844,0.40373,0.92257,0.99011,0.99016,0.99183,0.71825,1.14196,0.36251,1.03914,0.000171897,0.000171897,0.000171897
70,1155.59,0.8246,0.39033,0.92793,0.98426,0.9848,0.99055,0.69015,1.20467,0.38208,1.06364,0.000166689,0.000166689,0.000166689
71,1171.51,0.82901,0.39825,0.93721,0.98885,0.98821,0.9903,0.7259,1.12835,0.35933,1.03317,0.000161482,0.000161482,0.000161482
72,1187.45,0.81583,0.3879,0.92168,0.98521,0.98476,0.98971,0.69596,1.20792,0.38066,1.05865,0.000156275,0.000156275,0.000156275
73,1203.48,0.82531,0.3904,0.92277,0.98542,0.98514,0.9911,0.71238,1.16096,0.37075,1.04075,0.000151067,0.000151067,0.000151067
74,1219.99,0.78944,0.38744,0.91095,0.98652,0.98631,0.99049,0.7163,1.14504,0.36742,1.04238,0.00014586,0.00014586,0.00014586
75,1235.86,0.7882,0.3754,0.90984,0.98399,0.98511,0.99003,0.71305,1.15705,0.3722,1.05026,0.000140652,0.000140652,0.000140652
76,1251.81,0.7934,0.38616,0.91645,0.98886,0.98723,0.99083,0.72053,1.14776,0.36469,1.04493,0.000135445,0.000135445,0.000135445
77,1267.75,0.78067,0.3777,0.9114,0.98803,0.9849,0.98982,0.71514,1.14541,0.36328,1.04374,0.000130238,0.000130238,0.000130238
78,1284.12,0.79239,0.37843,0.91541,0.98896,0.9894,0.99156,0.72684,1.12054,0.35546,1.03403,0.00012503,0.00012503,0.00012503
79,1300.32,0.76227,0.371,0.91109,0.98858,0.98948,0.99174,0.73071,1.11414,0.35343,1.03216,0.000119823,0.000119823,0.000119823
80,1316.26,0.77108,0.37499,0.90582,0.98533,0.98781,0.99112,0.72954,1.11662,0.3573,1.03326,0.000114615,0.000114615,0.000114615
81,1332.07,0.75702,0.36817,0.89631,0.98913,0.98833,0.99214,0.71681,1.14095,0.35911,1.0396,0.000109408,0.000109408,0.000109408
82,1348.16,0.7615,0.36273,0.91023,0.98614,0.98587,0.98915,0.70459,1.16461,0.36669,1.05406,0.000104201,0.000104201,0.000104201
83,1364.38,0.73883,0.35567,0.90154,0.98971,0.99093,0.99224,0.72783,1.11581,0.35366,1.03816,9.89932e-05,9.89932e-05,9.89932e-05
84,1380.38,0.74327,0.36567,0.89577,0.98808,0.98585,0.99024,0.72639,1.12742,0.35602,1.04515,9.37858e-05,9.37858e-05,9.37858e-05
85,1396.38,0.73266,0.35494,0.89498,0.98929,0.98751,0.98982,0.7299,1.11354,0.35062,1.03442,8.85784e-05,8.85784e-05,8.85784e-05
86,1412.42,0.72647,0.3602,0.90273,0.98902,0.9878,0.99047,0.726,1.12512,0.3521,1.04047,8.3371e-05,8.3371e-05,8.3371e-05
87,1428.72,0.72358,0.35905,0.89795,0.98838,0.98701,0.99011,0.71678,1.13525,0.35531,1.04628,7.81636e-05,7.81636e-05,7.81636e-05
88,1444.75,0.71737,0.35019,0.89377,0.98974,0.99008,0.99154,0.70434,1.18188,0.36731,1.06352,7.29562e-05,7.29562e-05,7.29562e-05
89,1460.8,0.71505,0.34892,0.89173,0.98851,0.98772,0.99048,0.72157,1.14163,0.35796,1.04639,6.77488e-05,6.77488e-05,6.77488e-05
90,1476.72,0.71836,0.35888,0.89275,0.99028,0.98922,0.99093,0.72254,1.13018,0.35522,1.04323,6.25414e-05,6.25414e-05,6.25414e-05
91,1494.95,0.70516,0.31241,0.90426,0.98746,0.98644,0.98911,0.7149,1.13437,0.35911,1.05403,5.7334e-05,5.7334e-05,5.7334e-05
92,1510.6,0.69523,0.30719,0.90662,0.98373,0.98636,0.98853,0.71716,1.12622,0.36029,1.05241,5.21266e-05,5.21266e-05,5.21266e-05
93,1526.26,0.67565,0.30541,0.90072,0.98726,0.98681,0.98892,0.70982,1.15214,0.36518,1.06329,4.69192e-05,4.69192e-05,4.69192e-05
94,1541.92,0.67448,0.30361,0.89646,0.98686,0.98533,0.98944,0.71403,1.14902,0.36456,1.06375,4.17118e-05,4.17118e-05,4.17118e-05
95,1557.61,0.65377,0.28744,0.88946,0.98749,0.98666,0.99045,0.71783,1.14368,0.36247,1.06126,3.65044e-05,3.65044e-05,3.65044e-05
96,1573.48,0.66655,0.296,0.89777,0.98762,0.9885,0.99055,0.71725,1.14036,0.36125,1.05822,3.1297e-05,3.1297e-05,3.1297e-05
97,1589.1,0.64878,0.29073,0.88727,0.9888,0.98823,0.99065,0.71105,1.15818,0.36451,1.06545,2.60896e-05,2.60896e-05,2.60896e-05
98,1604.69,0.64326,0.28537,0.8883,0.98753,0.98686,0.99038,0.71632,1.1501,0.36378,1.06073,2.08822e-05,2.08822e-05,2.08822e-05
99,1620.35,0.65102,0.29044,0.89273,0.98685,0.98561,0.98937,0.72133,1.14206,0.36,1.05952,1.56748e-05,1.56748e-05,1.56748e-05
100,1636.19,0.63014,0.27891,0.8873,0.98775,0.98652,0.9898,0.71982,1.14199,0.3594,1.05916,1.04674e-05,1.04674e-05,1.04674e-05
